JC152062,01/24/2019 12:00:00 PM,105XX S INDIANAPOLIS AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,GROCERY FOOD STORE,N,N,432,10,10,1204806,1835681,41.703773605,-87.525645351,"(41.703773605, -87.525645351)"
JC152229,01/25/2019 05:00:00 PM,050XX S TALMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,N,923,14,14,1159559,1871085,41.801972702,-87.690362114,"(41.801972702, -87.690362114)"
JC133158,01/29/2019 01:10:00 AM,077XX S KINGSTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,421,7,08B,1194536,1854063,41.754473622,-87.562648619,"(41.754473622, -87.562648619)"
JC152512,01/27/2019 05:14:00 PM,061XX W 64TH ST,0583,STALKING,CYBERSTALKING,OTHER,N,N,812,13,08A,1136646,1861456,41.775988614,-87.774624211,"(41.775988614, -87.774624211)"
JC153217,01/30/2019 12:01:00 AM,003XX E 90TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,Y,633,9,26,1179769,1845375,41.730982992,-87.617029522,"(41.730982992, -87.617029522)"
JC128974,01/25/2019 08:31:00 AM,001XX N CENTRAL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,1512,29,08A,1139023,1900544,41.883209435,-87.764962093,"(41.883209435, -87.764962093)"
JC100211,01/01/2019 02:30:00 AM,002XX W NORTH AVE,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,BAR OR TAVERN,Y,N,1821,27,08B,1174220,1910988,41.911155937,-87.635404942,"(41.911155937, -87.635404942)"
JC132604,01/24/2019 01:32:00 PM,030XX N DAVLIN CT,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,N,N,2523,30,11,1149840,1920165,41.936847895,-87.724729803,"(41.936847895, -87.724729803)"
JC118210,01/15/2019 05:57:00 PM,016XX W 89TH ST,0560,ASSAULT,SIMPLE,APARTMENT,Y,N,2221,21,08A,1167008,1845683,41.732110103,-87.663768788,"(41.732110103, -87.663768788)"
JC112644,01/11/2019 08:15:00 AM,0000X W 110TH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,513,34,11,1177893,1832025,41.694391421,-87.624304648,"(41.694391421, -87.624304648)"
JC107416,01/06/2019 11:31:00 PM,039XX W ALTGELD ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,Y,N,2524,31,04A,1149537,1916331,41.926332964,-87.725943199,"(41.926332964, -87.725943199)"
JC134572,01/30/2019 01:18:00 PM,079XX S ESSEX AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,422,7,08A,1194235,1852778,41.750954875,-87.563793789,"(41.750954875, -87.563793789)"
JC104212,01/03/2019 10:27:00 PM,020XX S KILBOURN AVE,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,FACTORY/MANUFACTURING BUILDING,N,N,1012,24,24,1146705,1889904,41.853868895,-87.737024414,"(41.853868895, -87.737024414)"
JC124956,01/13/2019 12:43:00 PM,006XX S INDEPENDENCE BLVD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,N,N,1133,24,11,1151362,1897011,41.87328131,-87.71974488,"(41.87328131, -87.71974488)"
JC117240,01/12/2019 11:00:00 AM,064XX S COTTAGE GROVE AVE,0620,BURGLARY,UNLAWFUL ENTRY,OTHER,Y,N,312,20,05,1182672,1862395,41.777620866,-87.605867698,"(41.777620866, -87.605867698)"
JC128126,01/24/2019 07:45:00 AM,081XX S MERRILL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,414,8,08A,1191940,1851379,41.747171918,-87.572248985,"(41.747171918, -87.572248985)"
JC132693,01/28/2019 03:45:00 PM,024XX E 79TH ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,RESTAURANT,N,N,422,7,24,1193792,1853060,41.751739567,-87.565407903,"(41.751739567, -87.565407903)"
JC130907,01/26/2019 09:02:00 PM,027XX W DEVON AVE,0325,ROBBERY,VEHICULAR HIJACKING,PARKING LOT/GARAGE(NON.RESID.),Y,N,2412,50,03,1156962,1942352,41.997588522,-87.697950684,"(41.997588522, -87.697950684)"
JC129285,01/25/2019 12:32:00 PM,015XX E 67TH ST,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,DRUG STORE,Y,N,332,5,03,1187705,1860871,41.773320568,-87.587465382,"(41.773320568, -87.587465382)"
JC131759,01/26/2019 09:00:00 PM,068XX S RIDGELAND AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,Y,Y,332,5,02,1189044,1860038,41.771002776,-87.582583655,"(41.771002776, -87.582583655)"
JC106299,01/05/2019 08:22:00 PM,002XX E HURON ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,HOSPITAL BUILDING/GROUNDS,Y,N,1834,42,08B,1178046,1905133,41.895003278,-87.62152816,"(41.895003278, -87.62152816)"
JC114482,01/12/2019 02:30:00 PM,037XX W WILSON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,1723,35,08A,1150619,1930308,41.964665839,-87.721600782,"(41.964665839, -87.721600782)"
JC127413,01/23/2019 06:00:00 PM,068XX N SEELEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),Y,N,2411,50,14,1161304,1945319,42.005640538,-87.681895033,"(42.005640538, -87.681895033)"
JC134721,01/30/2019 04:58:00 PM,075XX S INDIANA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,623,6,08B,1178903,1855001,41.757417604,-87.619909605,"(41.757417604, -87.619909605)"
JC125425,01/07/2019 12:55:00 PM,061XX N MOZART ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,2413,50,11,1156229,1940611,41.992826037,-87.700694442,"(41.992826037, -87.700694442)"
JC131929,01/27/2019 09:45:00 PM,035XX S MICHIGAN AVE,3960,INTIMIDATION,INTIMIDATION,VEHICLE NON-COMMERCIAL,N,N,213,3,08A,1177772,1881665,41.830611847,-87.623247369,"(41.830611847, -87.623247369)"
JC117149,01/14/2019 08:15:00 PM,069XX S CRANDON AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,Y,N,331,5,07,1192521,1859491,41.769417774,-87.569856281,"(41.769417774, -87.569856281)"
JC134825,01/29/2019 02:00:00 AM,075XX S INDIANA AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,Y,Y,623,6,02,1178903,1855015,41.757456021,-87.619909179,"(41.757456021, -87.619909179)"
JC125685,01/22/2019 01:00:00 PM,049XX S ARCHER AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",Y,N,821,14,08B,1150934,1871470,41.803201891,-87.72198373,"(41.803201891, -87.72198373)"
JC123162,01/20/2019 02:11:00 AM,067XX S HONORE ST,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE,Y,N,726,16,04B,1165178,1859995,41.771423151,-87.670068676,"(41.771423151, -87.670068676)"
JC136208,01/31/2019 10:00:00 PM,089XX S ASHLAND AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,N,N,2221,21,11,1167240,1845333,41.731144695,-87.66292886,"(41.731144695, -87.66292886)"
JC111075,01/09/2019 05:00:00 PM,002XX N MASON AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,Y,Y,1512,29,26,1136729,1901071,41.884696976,-87.773373307,"(41.884696976, -87.773373307)"
JC114828,01/12/2019 09:00:00 PM,075XX N PAULINA ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,Y,N,2422,49,04A,1163642,1950114,42.018748975,-87.673157281,"(42.018748975, -87.673157281)"
JC123150,01/20/2019 01:13:00 AM,003XX N HOMAN AVE,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,1123,28,08B,1153656,1902068,41.887112934,-87.711187837,"(41.887112934, -87.711187837)"
